Distƒncia (m);PressÆo da ponta de pulveriza‡Æo (bar);Altura da barra (m);Pontas de pulveriza‡Æo;Deriva depositada
2.5;3;0.5;1;6.3438
5.0;3;0.5;1;2.6488
7.5;3;0.5;1;1.6008
10.0;3;0.5;1;1.0891
12.5;3;0.5;1;0.8820
15.0;3;0.5;1;0.6757
17.5;3;0.5;1;0.5754
20.0;3;0.5;1;0.4447
22.5;3;0.5;1;0.4293
25.0;3;0.5;1;0.4260
27.5;3;0.5;1;0.4046
30.0;3;0.5;1;0.3938
32.5;3;0.5;1;0.3765
35.0;3;0.5;1;0.3745
37.5;3;0.5;1;0.3772
40.0;3;0.5;1;0.3626
42.5;3;0.5;1;0.3612
45.0;3;0.5;1;0.3469
47.5;3;0.5;1;0.3439
50.0;3;0.5;1;0.3355
2.5;3;0.5;2;2.9636
5.0;3;0.5;2;1.1147
7.5;3;0.5;2;0.6971
10.0;3;0.5;2;0.5410
12.5;3;0.5;2;0.4953
15.0;3;0.5;2;0.4587
17.5;3;0.5;2;0.4341
20.0;3;0.5;2;0.4004
22.5;3;0.5;2;0.3810
25.0;3;0.5;2;0.3740
27.5;3;0.5;2;0.3545
30.0;3;0.5;2;0.3324
32.5;3;0.5;2;0.3192
35.0;3;0.5;2;0.3150
37.5;3;0.5;2;0.3137
40.0;3;0.5;2;0.3075
42.5;3;0.5;2;0.3067
45.0;3;0.5;2;0.2905
47.5;3;0.5;2;0.2847
50.0;3;0.5;2;0.2758
2.5;3;0.5;3;1.4684
5.0;3;0.5;3;0.7220
7.5;3;0.5;3;0.4782
10.0;3;0.5;3;0.4150
12.5;3;0.5;3;0.3711
15.0;3;0.5;3;0.3503
17.5;3;0.5;3;0.3327
20.0;3;0.5;3;0.3325
22.5;3;0.5;3;0.3214
25.0;3;0.5;3;0.3234
27.5;3;0.5;3;0.3071
30.0;3;0.5;3;0.3143
32.5;3;0.5;3;0.3014
35.0;3;0.5;3;0.3000
37.5;3;0.5;3;0.2871
40.0;3;0.5;3;0.2919
42.5;3;0.5;3;0.2929
45.0;3;0.5;3;0.2823
47.5;3;0.5;3;0.2732
50.0;3;0.5;3;0.2583
2.5;3;0.5;4;1.0666
5.0;3;0.5;4;0.5626
7.5;3;0.5;4;0.4260
10.0;3;0.5;4;0.4054
12.5;3;0.5;4;0.3955
15.0;3;0.5;4;0.3919
17.5;3;0.5;4;0.3839
20.0;3;0.5;4;0.3703
22.5;3;0.5;4;0.3660
25.0;3;0.5;4;0.3558
27.5;3;0.5;4;0.3291
30.0;3;0.5;4;0.3185
32.5;3;0.5;4;0.3061
35.0;3;0.5;4;0.3113
37.5;3;0.5;4;0.3074
40.0;3;0.5;4;0.2945
42.5;3;0.5;4;0.2774
45.0;3;0.5;4;0.2772
47.5;3;0.5;4;0.2580
50.0;3;0.5;4;0.2441
